group,colony,sample date
Bleached - clade C,25,10/24/14
Bleached - clade C,39,10/24/14
Bleached - clade C,53,10/24/14
Bleached - clade C,125,10/24/14
Bleached - clade C,131,10/24/14
Bleached - clade C,51,5/6/15
Bleached - clade C,57,5/6/15
Bleached - clade C,65,5/6/15
Bleached - clade C,79,5/6/15
Bleached - clade C,127,5/6/15
Bleached - clade C,137,5/6/15
Bleached - clade C,71,11/4/14
Bleached - clade C,77,11/4/14
Bleached - clade C,119,11/4/14
Not bleached - clade C,40,10/24/14
Not bleached - clade C,44,10/24/14
Not bleached - clade C,66,10/24/14
Not bleached - clade C,72,10/24/14
Not bleached - clade C,124,10/24/14
Not bleached - clade C,110,10/24/14
Not bleached - clade C,128,10/24/14
Not bleached - clade C,84,5/6/15
Not bleached - clade C,132,1/14/15
Not bleached - clade C,54,12/17/14
Not bleached - clade C,80,12/17/14
Not bleached - clade C,92,12/17/14
Not bleached - clade C,122,12/17/14
Not bleached - clade C,130,12/17/14
Not bleached - clade D,2,10/24/14
Not bleached - clade D,12,10/24/14
Not bleached - clade D,8,10/24/14
Not bleached - clade D,32,10/24/14
Not bleached - clade D,52,10/24/14
Not bleached - clade D,58,10/24/14
Not bleached - clade D,70,10/24/14
Not bleached - clade D,120,10/24/14
Not bleached - clade D,126,10/24/14
Not bleached - clade D,138,10/24/14
Not bleached - clade D,26,5/6/15
Not bleached - clade D,20,12/17/14
Not bleached - clade D,78,12/17/14
Not bleached - clade D,112,12/17/14
