Tag #,Species,No. samples taken,Date/Time,Sampler,Colony Number (for labeling cores)
946,Ofav (franksi?),3,2/15/17 9:00,RC,22
945,Ssid,3,2/15/17 9:00,RC,23
947,Mcav,3,2/15/17 9:00,RC,22
944,Mcav,3,2/15/17 9:00,RC,21
948,Ssid,3,2/15/17 9:00,RC,22
943,Ofav,3,2/15/17 9:00,RC,21
949,Ssid,3,2/15/17 9:00,RC,21
942,Ofav (franksi?),3,2/15/17 9:00,RC,20
950,Ssid,3,2/15/17 9:00,RC,20
936,Mcav,3,2/15/17 16:00,RK,24
937,Mcav,3,2/15/17 16:00,RK,25
938,Mcav,3,2/15/17 16:00,RK,23
941,Ssid,3,2/15/17 16:00,RK,27
939,Ssid,3,2/15/17 16:00,RK,29
940,Ssid,3,2/15/17 16:00,RK,28
935,Ssid,3,2/15/17 16:00,RK,24
934,Ssid,3,2/15/17 16:00,RK,26
933,Ssid,3,2/15/17 16:00,RK,25
932,Mcav,3,2/15/17 16:00,RK,26
