colony,ng/uL
1,13.47133179
3,17.05263588
11,21.02500485
19,9.449198353
25,13.47419299
39,17.50644281
43,17.23657024
53,20.2937636
91,21.64956418
125,25.70684951
131,17.04558506
51,19.60063764
57,17.82659078
65,14.08689876
79,17.72859464
127,14.3936604
137,8.571116175
31,19.04188594
71,18.07439123
77,31.69074504
83,23.69011148
119,20.58611704
54,41.90410889
80,35.53568837
92,46.35736402
122,33.19910894
130,17.87717272
40,17.25639427
44,14.46140955
66,10.93109615
72,18.69516968
124,22.24796395
110,14.60947671
128,14.61591441
84,17.15574131
132,20.11023799
6,42.01671759
20,44.1670124
78,38.87092918
112,26.64930871
2,21.16193376
12,28.45993808
8,17.71265366
32,14.75120835
52,19.73184415
58,22.34452949
70,13.82366826
120,13.08282155
126,17.553857
138,15.02578147
26,19.61913326
4,30.62065583
