group,colony,sample date
Bleached - clade C,25,2014-20-24
Bleached - clade C,39,2014-20-24
Bleached - clade C,53,2014-20-24
Bleached - clade C,125,2014-20-24
Bleached - clade C,131,2014-20-24
Bleached - clade C,51,2015-05-06
Bleached - clade C,57,2015-05-06
Bleached - clade C,65,2015-05-06
Bleached - clade C,79,2015-05-06
Bleached - clade C,127,2015-05-06
Bleached - clade C,137,2015-05-06
Bleached - clade C,71,2014-11-04
Bleached - clade C,77,2014-11-04
Bleached - clade C,119,2014-11-04
Not bleached - clade C,40,2014-10-24
Not bleached - clade C,44,2014-10-24
Not bleached - clade C,66,2014-10-24
Not bleached - clade C,72,2014-10-24
Not bleached - clade C,124,2014-10-24
Not bleached - clade C,110,2014-10-24
Not bleached - clade C,128,2014-10-24
Not bleached - clade C,84,2015-05-06
Not bleached - clade C,132,2015-01-14
Not bleached - clade C,54,2014-12-17
Not bleached - clade C,80,2014-12-17
Not bleached - clade C,92,2014-12-17
Not bleached - clade C,122,2014-12-17
Not bleached - clade C,130,2014-12-17
Not bleached - clade D,2,2014-10-24
Not bleached - clade D,12,2014-10-24
Not bleached - clade D,8,2014-10-24
Not bleached - clade D,32,2014-10-24
Not bleached - clade D,52,2014-10-24
Not bleached - clade D,58,2014-10-24
Not bleached - clade D,70,2014-10-24
Not bleached - clade D,120,2014-10-24
Not bleached - clade D,126,2014-10-24
Not bleached - clade D,138,2014-10-24
Not bleached - clade D,26,2015-05-06
Not bleached - clade D,2,2014-12-17
Not bleached - clade D,78,2014-12-17
Not bleached - clade D,112,2014-12-17
